Word,stress_pattern
absorbers,0-1-0
absorbing,0-1-0
absorbs,0-1
absorption,0-1-0
absorption,0-1-0
abstain,0-1
abstain,0-1
abstained,0-1
abstained,0-1
abstaining,0-1-0
abstaining,0-1-0
abstention,0-1-0
abstention,0-1-0
abstentions,0-1-0
abstentions,0-1-0
abstinence,1-0-0
abstinent,1-0-0
abstract,0-1
abstract,1-2
abstracted,1-2-0
abstraction,0-1-0
abstractions,0-1-0
abstracts,1-0
abstruse,0-1
absurd,0-1
absurdist,0-1-0
absurdities,0-1-0-0
absurdity,0-1-0-0
absurdly,0-1-0
abt,1
abt,1-1-1
Abu,1-0
abundance,0-1-0
abundant,0-1-0
abundantly,0-1-0-0
abuse,0-1
abuse,0-1
abused,0-1
abuser,0-1-0
abusers,0-1-0
abuses,0-1-0
abuses,0-1-0
abusing,0-1-0
abusive,0-1-0
abut,0-1
abuts,0-1
abutting,0-1-0
abuzz,0-1
abysmal,0-1-0
abysmally,0-1-0-0
abyss,0-1
Abyssinia,0-1-2-0
Abyssinian,0-1-2-0
Ac,1-1
acacia,0-1-0
academe,1-0-2
academia,2-0-1-0-0
academic,2-0-1-0
academically,2-0-1-0-0
academician,2-0-0-1-0
academics,2-0-1-0
academies,0-1-0-0
Academy,0-1-0-0
Acadia,0-1-0-0
Acapulco,2-0-1-0
accede,0-1
acceded,0-1-0
accelerant,0-1-0-0
accelerate,0-1-0-2
accelerated,0-1-0-2-0
accelerates,0-1-0-2
accelerating,0-1-0-2-0
acceleration,2-2-0-1-0
accelerator,0-1-0-2-0
accelerators,0-1-0-2-0
accent,1-2
accent,0-1
accented,1-0-0
accents,1-0
accentuate,0-1-0-0
accentuated,0-1-0-2-0
accentuates,0-1-0-0
accentuating,0-1-0-2-0
accept,0-1
accept,0-1
acceptable,0-1-0-0
acceptable,0-1-0-0
acceptance,0-1-0
acceptance,0-1-0
acceptances,0-1-0-0
accepted,0-1-0
accepted,0-1-0
accepting,0-1-0
accepting,0-1-0
accepts,0-1
access,1-2
accessed,1-2
accessibility,2-0-0-1-0-0
accessible,0-1-0-0
accessing,1-2-0
accession,0-1-0
accessories,0-1-0-0
accessorize,0-1-0-2
accessorized,0-1-0-2
accessory,0-1-0-0
accident,1-0-0
accidental,2-0-1-0
accidental,2-0-1-0
accidentally,2-0-1-0-0
accidentally,2-0-1-0-0
accidently,1-0-0-0
accidents,1-0-0
acclaim,0-1
acclaimed,0-1
acclaims,0-1
acclamation,2-0-1-0
acclimate,1-0-2
acclimated,1-0-2-0
accolade,1-0-2
accolades,1-0-2
accommodate,0-1-0-2
accommodated,0-1-0-2-0
accommodates,0-1-0-2
accommodating,0-1-0-2-0
accommodation,0-2-0-1-0
accommodations,0-2-0-1-0
accommodative,0-1-0-2-0
accompanied,0-1-0-0
accompanies,0-1-0-0
accompaniment,0-1-0-0
accompaniment,0-1-0-0
accompanist,0-1-0-0
accompany,0-1-0-0
accompanying,0-1-0-0-0
accompli,2-1-0
accompli,0-1-0
accomplice,0-1-0
accomplices,0-1-0-0
accomplish,0-1-0
accomplished,0-1-0
accomplishes,0-1-0-0
accomplishing,0-1-0-0
accomplishment,0-1-0-0
accomplishments,0-1-0-0
accord,0-1
accordance,0-1-0
accorded,0-1-0
According,0-1-0
accordingly,0-1-0-0
accordion,0-1-0-0
accordions,0-1-0-0
accords,0-1
accost,0-1
accosted,0-1-0
accosting,0-1-0
account,0-1
accountability,0-1-0-0-0-0
accountability,0-1-0-0-0-0
accountable,0-1-0-0
accountable,0-1-0-0
accountancy,0-1-0-0
accountant,0-1-0
accountants,0-1-0
accounted,0-1-0
accounted,0-1-0
accounting,0-1-0
accounting,0-1-0
accounts,0-1
accoutrement,0-1-0-0
accoutrements,0-1-0-0
accreditation,0-2-0-1-0
accredited,0-1-0-0
accrediting,0-1-0-0
accrual,0-1-0
accrue,0-1
accrued,0-1
accrues,0-1
accruing,0-1-0
accumulate,0-1-0-2
accumulated,0-1-0-2-0
accumulates,0-1-0-2
accumulating,0-1-0-2-0
accumulation,0-2-0-1-0
accumulations,0-2-0-1-0
accumulative,0-1-0-2-0
accumulator,0-1-0-2-0
accuracy,1-0-0-0
accurate,1-0-0
accurately,1-0-0-0
accusation,2-0-1-0
accusation,2-0-1-0
accusations,2-0-1-0
accusations,2-0-1-0
accusatory,0-1-0-2-0
accuse,0-1
accused,0-1
accuser,0-1-0
accusers,0-1-0
accuses,0-1-0
accusing,0-1-0
accustom,0-1-0
accustomed,0-1-0
Ace,1
aced,1
acerbic,0-1-0
aces,1-0
acetaminophen,0-2-0-1-0-0
acetate,1-0-2
acetic,0-1-0
acetic,0-1-0
acetone,1-0-2
Acetylcholine,0-2-0-1-0
Acetylcholine,0-2-0-1-0
acetylene,0-1-0-2
ache,1
ached,1
aches,1
achievable,0-1-0-0
achieve,0-1
achieved,0-1
achievement,0-1-0
achievements,0-1-0
achiever,0-1-0
Achievers,0-1-0
achieves,0-1
achieving,0-1-0
Achilles,0-1-0
aching,1-0
achingly,1-0-0
achy,1-0
acid,1-0
acidic,0-1-0
acidity,0-1-0-0
acidosis,2-0-1-0
acids,1-0
Ack,1
Acker,1-0
acknowledge,0-1-0
acknowledge,0-1-0
acknowledged,0-1-0
acknowledged,0-1-0
acknowledgement,0-1-0-0
acknowledgement,0-1-0-0
acknowledgements,0-1-0-0
acknowledgements,0-1-0-0
acknowledges,0-1-0-0
acknowledges,0-1-0-0
acknowledging,0-1-0-0
acknowledging,0-1-0-0
acknowledgment,0-1-0-0
acknowledgment,0-1-0-0
Acme,1-0
acne,1-0
acolyte,1-0-2
acolytes,1-0-2
acorn,1-0
Acorns,1-0
acoustic,0-1-0
acoustical,0-1-0-0
acoustically,0-1-0-0
acoustics,0-1-0
acquaint,0-1
acquaintance,0-1-0
acquaintances,0-1-0-0
acquaintanceship,0-1-0-0
acquainted,0-1-0
acquainted,0-1-0
acquiesce,2-0-1
acquiesced,2-0-1
acquiescence,2-0-1-0
acquiescing,2-0-1-0
acquire,0-1-0
acquired,0-1-0
acquirer,0-1-0-0
acquires,0-1-0
acquiring,0-1-0-0
acquiring,0-1-0
acquisition,2-0-1-0
acquisitions,2-0-1-0
acquisitive,0-1-0-0
acquit,0-1
acquittal,0-1-0
acquittals,0-1-0
acquitted,0-1-0
acquitted,0-1-0
acquitting,0-1-0
acre,1-0
acreage,1-0-0
acreage,1-0
acres,1-0
acrid,1-0
acrimonious,2-0-1-0-0
acrimony,1-0-2-0
acrobat,1-0-2
acrobatic,2-0-1-0
acrobatics,2-0-1-0
acrobats,1-0-2
acronym,1-0-0
acronyms,1-0-0
Acropolis,0-1-0-0
across,0-1
acrylic,0-1-0
acrylics,0-1-0
act,1
acted,1-0
acted,1-0
actin,1-0
acting,1-0
action,1-0
actionable,1-0-0-0
actions,1-0
activate,1-0-2
activated,1-0-2-0
activated,1-0-2-0
activates,1-0-2
activating,1-0-2-0
activation,2-0-1-0
activator,1-0-2-0
active,1-0
actively,1-0-0
actives,1-0
activism,1-0-2-0
activist,1-0-0
activist,1-0-0
activists,1-0-0
activists,1-0-0
activists,1-0-0
activists,1-0-0
activities,0-1-0-0
activities,0-1-0-0
activity,0-1-0-0
activity,0-1-0-0
Acton,1-0
actor,1-0
actors,1-0
actress,1-0
actresses,1-0-0
acts,1
acts,1
actual,1-0-0
actual,1-0
actuality,2-0-1-0-0
actualize,1-0-0-2
actually,1-0-0-0
actually,1-0
actually,1-0-0
actually,1-0
actuarial,2-0-1-0-0
actuaries,1-0-2-0
actuary,1-0-2-0
actuate,1-0-2
actuator,1-0-2-0
actuator,1-0-2-0
actuators,1-0-2-0
actuators,1-0-2-0
acuity,0-1-0-0
acumen,0-1-0
acupuncture,1-0-2-0
acute,0-1
acutely,0-1-0
acuteness,0-1-0
acyclovir,0-1-0-2
ad,1
adage,1-0
adage,1-0
Adagio,0-1-0-2
Adam,1-0
adamant,1-0-0
adamantly,1-0-0-0
Adams,1-0
adapt,0-1
adaptability,0-2-0-1-0-0
adaptable,0-1-0-0
Adaptation,2-0-1-0
adaptations,2-0-1-0
adaptations,2-0-1-0
adapted,0-1-0
adapted,0-1-0
adapter,0-1-0
adapting,0-1-0
adaptive,0-1-0
adaptor,0-1-0
adaptors,0-1-0
adapts,0-1
Adar,0-1
add,1
added,1-0
added,1-0
addendum,0-1-0
addendums,0-1-0
Adder,1-0
addict,1-2
addict,0-1
addicted,0-1-0
addicted,0-1-0
addicting,0-1-0
addiction,0-1-0
addictions,0-1-0
addictive,0-1-0
addicts,1-2
addicts,0-1
adding,1-0
Addis,1-0
Addison,1-0-0
Addison,1-0-0
addition,0-1-0
additional,0-1-0-0
additional,0-1-0
Additionally,0-1-0-0-0
Additionally,0-1-0-0
additions,0-1-0
additive,1-0-0
additive,1-0-0
additives,1-0-0
additives,1-0-0
Addle,1-0
addled,1-0
address,1-2
address,0-1
addressed,0-1
addressee,2-0-1
addresses,1-1-0
addresses,0-1-0
addressing,0-1-0
adds,1
Ade,1
Aden,1-0
Adenine,1-0-2
Adenoid,1-0-2
adenoids,1-0-2
adenosine,0-1-0-2
adept,0-1
adequacy,1-0-0-0
adequate,1-0-0
adequate,1-0-2
adequately,1-0-0-0
adequately,1-0-0-0
adhere,0-1
adhered,0-1
adherence,0-1-0
adherent,0-1-0
adherents,0-1-0
adheres,0-1
adhering,0-1-0
adhesion,0-1-0
adhesive,0-1-0
adhesive,0-1-0
adhesives,0-1-0
adhesives,0-1-0
adieu,0-1
Adios,2-0-1
adipose,1-0-2
adjacent,0-1-0
adjective,1-0-0
adjectives,1-0-0
adjoining,0-1-0
adjoins,0-1
adjourn,0-1
adjourned,0-1
adjourning,0-1-0
adjournment,0-1-0
adjourns,0-1
adjudge,0-1
adjudged,0-1
adjudicate,0-1-0-2
adjudicated,0-1-0-2-0
adjudicating,0-1-0-2-0
adjudication,0-2-0-1-0
adjunct,1-2
adjust,0-1
adjustable,0-1-0-0
adjusted,0-1-0
adjusted,0-1-0
adjuster,0-1-0
adjusters,0-1-0
adjusting,0-1-0
adjustment,0-1-0
adjustments,0-1-0
adjusts,0-1
adjusts,0-1
adjutant,1-0-0
administer,0-1-0-0
administered,0-1-0-0
administering,0-1-0-0-0
administers,0-1-0-0
administrate,0-1-0-2
administration,0-2-0-1-0
administrations,0-2-0-1-0
administrative,0-1-0-2-0
administrator,0-1-0-2-0
administrators,0-1-0-2-0
admirable,1-0-0-0
admirable,1-0-0
admirably,1-0-0-0
Admiral,1-0-0
admirals,1-0-0
Admiralty,1-0-0-0
admiration,2-0-1-0
admire,0-1
admired,0-1-0
admirer,0-1-0
admirers,0-1-0
admires,0-1
admiring,0-1-0
admissibility,0-2-0-1-0-0
admissible,0-1-0-0
admission,0-1-0
admission,0-1-0
admissions,0-1-0
admissions,0-1-0
admit,0-1
admits,0-1
admittance,0-1-0
admitted,0-1-0
admittedly,0-1-0-0
admitting,0-1-0
admitting,0-1-0
admonish,0-1-0
admonished,0-1-0
admonishing,0-1-0-0
admonition,2-0-1-0
admonitions,2-0-1-0
ado,0-1
Adobe,0-1-0
adolescence,2-0-1-0
adolescence,2-0-1-0
adolescent,2-0-1-0
adolescent,2-0-1-0
adolescents,2-0-1-0
adolescents,2-0-1-0
Adolf,1-0
Adolph,1-0
Adonis,0-1-0
adopt,0-1
adoptable,0-1-0-0
adopted,0-1-0
adopter,0-1-0
adopting,0-1-0
adoption,0-1-0
adoptions,0-1-0
adoptive,0-1-0
adopts,0-1
adorable,0-1-0-0
adoration,2-0-1-0
adore,0-1
adored,0-1
adores,0-1
adoring,0-1-0
adorn,0-1
adorned,0-1
adorning,0-1-0
adornment,0-1-0
adorns,0-1
adrenal,0-1-0
adrenalin,0-1-0-0
adrenaline,0-1-0-0
Adriatic,2-0-1-0
adrift,0-1
adroit,0-1
adroitly,0-1-0
ads,1
adulation,2-0-1-0
adult,1-0
adult,0-1
adulterate,0-1-0-2
Adulterated,0-1-0-2-0
adulterer,0-1-0-0
adulterers,0-1-0-0
adulterous,0-1-0-0
adultery,0-1-0-0
adulthood,0-1-2
adults,1-0
adults,0-1
advance,0-1
advanced,0-1
advancement,0-1-0
advancements,0-1-0
advances,0-1-0
advances,0-1-0
advancing,0-1-0
advantage,0-1-0
advantage,0-1-0
advantage,0-1-0
advantage,0-1-0
advantaged,0-1-0
advantaged,0-1-0
advantaged,0-1-0
advantaged,0-1-0
advantageous,2-0-1-0
advantages,0-1-0-0
advantages,0-1-0-0
advantages,0-1-0-0
advantages,0-1-0-0
advent,1-2
Adventist,1-2-0
Adventists,1-2-0
Adventists,1-2-0
adventure,0-1-0
adventure,0-1-0
adventurer,0-1-0-0
adventurer,0-1-0-0
adventurers,0-1-0-0
adventurers,0-1-0-0
adventures,0-1-0
adventures,0-1-0
adventuresome,0-1-0-0
adventuresome,0-1-0-0
adventurous,0-1-0-0
adventurous,0-1-0-0
adverb,1-0
adverbial,0-1-0-0
adverbs,1-0
adversarial,2-0-1-0-0
adversaries,1-0-2-0
adversary,1-0-2-0
adverse,0-1
adverse,1-2
adverse,0-1
adversely,0-1-0
adversity,0-1-0-0
adversity,0-1-0-0
advertise,1-0-2
advertised,1-0-2
advertised,2-0-1
advertisement,2-0-1-0
advertisement,0-1-0-0
advertisements,1-0-2-0
Advertiser,1-0-2-0
advertisers,1-0-2-0
advertises,1-0-2-0
advertising,1-0-2-0
advice,0-1
advice,0-1
advisable,0-1-0-0
advise,0-1
advise,0-1
advised,0-1
advised,0-1
advisedly,0-1-0-0
advisedly,0-1-0-0
advisement,0-1-0
adviser,0-1-0
advisers,0-1-0
advises,0-1-0
advising,0-1-0
advisor,0-1-0
advisor,0-1-0
advisories,0-1-0-0
advisors,0-1-0
advisors,0-1-0
advisory,0-1-0-0
advisory,0-1-0-0
advocacy,1-0-0-0
advocate,1-0-0
advocate,1-0-2
advocated,1-0-2-0
advocated,1-0-2-0
advocates,1-0-0
advocates,1-0-2
advocating,1-0-2-0
Ae,1
Aegean,0-1-0
Aegis,1-0
Aeneas,1-0-0
Aer,1
Aer,1-1-1
aerial,1-0-0
aerials,1-0-0
aerie,1-0
aero,1-0
aerobatics,2-0-1-0
aerobic,0-1-0
aerobically,0-1-0-0
aerobics,0-1-0
aerodromes,1-0-2
aerodynamic,2-0-0-1-0
aerodynamically,2-0-0-1-0-0
aerodynamics,2-0-0-1-0
Aerodyne,1-0-2
aeronautical,2-0-1-0-0
aeronautical,2-0-1-0-0
Aeronautics,2-0-1-0
aerosol,1-0-2
Aerosols,1-0-2
aerospace,1-0-2
Aesop,1-2
aesthete,1-0
aesthetes,1-0
aesthetic,0-1-0
aesthetically,0-1-0-0
aesthetics,0-1-0
afar,0-1
affable,1-0-0
affably,1-0-0
affair,0-1
affairs,0-1
affect,0-1
affectation,2-0-1-0
affected,0-1-0
affected,0-1-0
affecting,0-1-0
affection,0-1-0
affectionate,0-1-0-0
affectionate,0-1-0-0
affectionately,0-1-0-0-0
affections,0-1-0
affective,0-1-0
affects,0-1
affiant,1-0-0
affidavit,2-0-1-0
affidavits,2-0-1-0
affiliate,0-1-0-0
affiliate,0-1-0-2
affiliated,0-1-0-2-0
affiliated,0-1-0-2-0
affiliates,0-1-0-0
affiliates,0-1-0-2
affiliation,0-2-0-1-0
affiliations,0-2-0-1-0
affinity,0-1-0-0
affinity,0-1-0-0
affirm,0-1
affirmation,2-0-1-0
affirmations,2-0-1-0
Affirmative,0-1-0-0
affirmatively,0-1-0-0-0
affirmed,0-1
affirming,0-1-0
affirms,0-1
affix,1-0
affix,0-1
affixed,0-1
afflict,0-1
afflicted,0-1-0
afflicted,0-1-0
afflicting,0-1-0
affliction,0-1-0
afflictions,0-1-0
afflicts,0-1
affluence,1-0-0
affluent,1-0-0
afford,0-1
affordability,0-2-0-1-0-0
affordable,0-1-0-0
afforded,0-1-0
affording,0-1-0
affords,0-1
affront,0-1
affronted,0-1-0
Afghan,1-2
Afghani,0-1-0
Afghanis,0-1-0
Afghanistan,0-1-0-2
Afghans,1-2
aficionado,0-2-0-1-2
aficionados,0-2-0-1-0
afield,0-1
afire,0-1
aflame,0-1
afloat,0-1
aflutter,0-1-0
afoot,0-1
aforementioned,0-1-2-0
aforesaid,0-1-2
aforethought,0-1-2
afoul,0-1
afraid,0-1
afresh,0-1
Africa,1-0-0
Africa,1-0-0
Africa,1-0-0
African,1-0-0
African,1-0-0
Africans,1-0-0
Africans,1-0-0
Afrikaans,2-0-1
Afrikaner,2-0-1-0
Afro,1-0
aft,1
after,1-0
afterburner,1-0-2-0
afterburners,1-0-2-0
aftereffect,1-0-0-2
aftereffects,1-0-0-2
afterglow,1-0-2
afterimage,1-0-2-0
afterlife,1-0-2
aftermarket,1-0-2-0
aftermath,1-0-2
aftermaths,1-0-2
afternoon,2-0-1
afternoons,2-0-1
aftershave,2-0-1
aftershaves,2-0-1
aftershock,1-0-2
aftershocks,1-0-2
aftertaste,1-0-2
afterthought,1-0-2
afterthought,1-0-2
afterthoughts,1-0-2
afterthoughts,1-0-2
afterward,1-0-0
afterwards,1-0-0
Ag,1
Ag,1-1
Aga,1-0
again,0-1
again,0-1
against,0-1
against,0-1
Agamemnon,2-0-1-2
Agar,1-0
agate,1-0
agates,1-0
age,1
aged,1
aged,1-0
Agee,1-1
ageless,1-0
agencies,1-0-0
agency,1-0-0
agenda,0-1-0
agendas,0-1-0
Agent,1-0
agents,1-0
Ager,1-0
ageratum,0-1-0-0
ages,1-0
ages,1-0
Aggie,1-0
Aggies,1-0
agglutinate,0-1-0-2
aggrandize,0-1-2
aggrandizement,1-0-2-0
aggrandizement,0-1-2-0
aggrandizing,1-0-2-0
aggrandizing,0-1-2-0
aggravate,1-0-2
aggravated,1-0-2-0
aggravated,1-0-2-0
aggravates,1-0-2
aggravating,1-0-2-0
aggravation,2-0-1-0
aggregate,1-0-0
aggregate,1-0-0
aggregate,1-0-0
aggress,0-1
aggression,0-1-0
aggressions,0-1-0
aggressive,0-1-0
aggressively,0-1-0-0
aggressiveness,0-1-0-0
aggressor,0-1-0
aggressors,0-1-0
aggrieved,0-1
aghast,0-1
agile,1-0
agility,0-1-0-0
agin,0-1
aging,1-0
agitate,1-0-2
agitated,1-0-2-0
agitating,1-0-2-0
agitation,2-0-1-0
agitator,1-0-2-0
agitators,1-0-2-0
agitprop,1-0-2
aglow,0-1
agnostic,0-1-0
ago,0-1
agog,0-1
agonies,1-0-0
agonist,1-0-0
agonize,1-0-2
agonized,1-0-2
agonizing,1-0-0-0
agony,1-0-0
agora,1-0-0
agoraphobia,0-2-0-1-0-0
agrarian,0-1-0-0
agree,0-1
agreeable,0-1-0-0
agreed,0-1
agreeing,0-1-0
agreement,0-1-0
agreements,0-1-0
agrees,0-1
agribusiness,1-0-2-0
agricultural,2-0-1-0-0
agricultural,2-0-1-0-0
agriculturalist,2-0-1-0-0-0
Agriculture,1-0-2-0
aground,0-1
Agua,1-0
aguacate,1-0-2
Ah,1
Aha,2-1
Ahab,1-2
ahead,0-1
Aho,1-0
ahold,0-1
Ahoy,0-1
ahs,1
Ai,1
Ai,1-1
aid,1
aide,1
aided,1-0
aided,1-0
aides,1
aiding,1-0
aids,1
ail,1
aileron,1-0-2
ailerons,1-0-2
ailing,1-0
ailment,1-0
ailments,1-0
ails,1
aim,1
aimed,1
aiming,1-0
aimless,1-0
aimlessly,1-0-0
aims,1
air,1
airbag,1-2
airbags,1-2
airbase,1-2
airboat,1-0
airborne,1-2
aircraft,1-2
aircrafts,1-2
aircrafts,1-2
Aircrew,1-2
airdrop,1-0
aired,1
Airedale,1-2
Airedales,1-2
airfare,1-2
airfares,1-2
airfield,1-2
airfields,1-2
airflow,1-0
airfoil,1-2
airhead,1-2
airing,1-0
airless,1-0
airlift,1-2
airlifted,1-2-0
airlifting,1-2-0
Airlifts,1-2
airline,1-2
airliner,1-2-0
airliners,1-2-0
Airlines,1-2
airlock,1-2
airlocks,1-2
airmail,1-2
Airman,1-0
airmen,1-2
airplane,1-2
airplanes,1-0
airport,1-2
airports,1-2
airs,1
airship,1-2
airships,1-2
airspace,1-2
airspeed,1-2
airstrike,1-2
airstrikes,1-2
airstrip,1-2
airstrips,1-2
airtight,1-2
airtime,1-2
airwave,1-2
airwaves,1-2
airway,1-2
Airways,1-2
airworthy,1-2-0
airy,1-0
ais,1
aisle,1-0
aisle,1
aisles,1-0
aisles,1
ajar,0-1
Ajax,1-2
aka,1-0
aka,1-1-1
ake,1
akey,0-1
akimbo,0-1-2
akin,0-1
akin,1-0
Akkadian,0-1-0-0
Akron,1-0
Al,1
ala,1-0
Alabama,2-0-1-0
alabaster,1-0-2-0
alacrity,0-1-0-0
Aladdin,0-1-0
alai,0-1
Alameda,2-0-1-0
Alamo,1-0-0
Alamos,1-0-0
Alan,1-0
Alar,1-2
alarm,0-1
alarmed,0-1
alarming,0-1-0
alarmingly,0-1-0-0
alarmist,0-1-0
alarmist,0-1-0
alarms,0-1
Alas,0-1
Alaska,0-1-0
Alaskan,0-1-0
Alaskans,0-1-0
Alba,1-0
albacore,1-0-2
Alban,1-0
Albania,0-1-0-0
Albanian,0-1-0-0
Albanians,0-1-0-0
Albany,1-0-0
albatross,1-0-2
Albatrosses,1-0-2-0
Albee,0-1
albeit,0-1-0
Albert,1-0
Alberta,0-1-0
albino,0-1-2
Albion,1-0-0
album,1-0
albumin,0-1-0
albums,1-0
Albuquerque,1-0-0-0
Albus,1-0
Alcazar,1-0-2
alchemically,0-1-0-0
alchemist,1-0-0
alchemist,1-0-0
alchemy,1-0-0
alcohol,1-0-2
alcoholic,2-0-1-0
alcoholics,2-0-1-0
alcoholism,1-0-2-2-0
alcove,1-2
alcoves,1-2
Aldebaran,0-1-0-0
Alden,1-0
Alder,1-0
Alderman,1-0-0
Alderman,1-0-0
aldermen,1-0-0
Aldrin,1-0
ale,1
Alec,1-0
alehouse,1-2
Alem,0-1
Aleph,1-0
alert,0-1
alerted,0-1-0
alerting,0-1-0
alertly,0-1-0
alertness,0-1-0
alerts,0-1
ales,1
Aleutian,0-1-0
Aleutians,0-1-0
Alexander,2-0-1-0
Alexander,2-0-1-0
Alexanders,2-0-1-0
Alexandria,2-0-1-0-0
Alexandrine,2-0-1-0
Alexia,0-1-0-0
Alf,1
Alfa,1-0
alfalfa,2-1-0
Alfonso,2-1-0
Alfred,1-0
Alfred,1-0
algae,1-0
algebra,1-0-0
algebraic,2-0-1-0
Algeria,0-1-0-0
Algerian,0-1-0-0
Algerians,0-1-0-0
Algiers,0-1
Algonquin,0-1-0
algorithm,1-0-2-0
algorithms,1-0-2-0
Alhambra,0-1-0
alias,1-0-0
aliases,1-0-0-0
alibi,1-0-2
alibis,1-0-2
Alice,1-0
Alice,1-0
alien,1-0-0
alienate,1-0-2
alienated,1-0-0-2-0
alienated,1-0-0-2-0
alienating,1-0-0-2-0
alienation,2-0-0-1-0
aliens,1-0-0
alight,0-1
align,0-1
aligned,0-1
aligning,0-1-0
alignment,0-1-0
alignments,0-1-0
aligns,0-1
alike,0-1
alimentary,2-0-1-0-0
alimony,1-0-2-0
Aline,0-1
Alison,1-0-0
alive,0-1
Aliyah,0-1-0
alkali,1-0-2
alkaline,1-0-2
alkaloid,1-0-2
alkaloids,1-0-2
all,1
Allah,1-0
Allan,1-0
allay,0-1
allayed,0-1
allaying,0-1-0
allays,0-1
allegation,2-0-1-0
allegations,2-0-1-0
allege,0-1
alleged,0-1
allegedly,0-1-0-0
alleges,0-1-0
alleges,0-1-0
Allegheny,1-0-2-0
Allegheny,2-0-1-0
allegiance,0-1-0
allegiances,2-1-0-2-0
allegiances,0-1-0-0
alleging,0-1-0
allegorical,2-0-1-0-0
allegories,1-0-2-0
allegory,1-0-2-0
Allegro,0-1-2
allele,0-1-0
alleles,0-1-0
Allen,1-0
allene,1-2
aller,1-0
allergen,1-0-0
allergens,1-0-0
allergic,0-1-0
allergies,1-0-0
allergist,1-0-0
allergists,1-0-0
allergists,1-0-0
allergy,1-0-0
alleviate,0-1-0-2
alleviated,0-1-0-2-0
alleviated,0-1-0-2-0
